mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	17	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	28
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	43	G2	2	32
5	5	18	18	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	29
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	36
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	33
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	37
6	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	34
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	38
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	35
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	43
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	39
7	7	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	44
7	7	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	40
7	7	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	45
7	7	26	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	41
7	7	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	46
7	7	27	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	42
8	8	28	28	2.0	0	0	4/4	2	1	1/2	1/2	1		2	50	D3	3	49
8	8	28	28	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	47
8	8	31	31	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	50
8	8	31	31	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	48
9	9	32	32	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	55
9	9	32	32	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	51
9	9	33	33	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	56
9	9	33	33	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	52
9	9	34	34	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	57
9	9	34	34	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	53
9	9	35	35	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	58
9	9	35	35	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	54
10	10	36	36	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	62
10	10	36	36	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	59
10	10	37	37	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	63
10	10	37	37	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	60
10	10	38	38	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	43	G2	2	64
10	10	38	38	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	61
11	11	41	41	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	42	F#2	2	69
11	11	41	41	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	65
11	11	42	42	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	43	G2	2	70
11	11	42	42	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	66
11	11	43	43	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	71
11	11	43	43	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	67
11	11	87/2	87/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	68
12	12	44	44	1.0	0	0	4/4	2	1	1/4	1/4	1		5	47	B2	2	76
12	12	44	44	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	72
12	12	45	45	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	77
12	12	45	45	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	73
12	12	46	46	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	43	G2	2	78
12	12	46	46	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	74
12	12	47	47	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	79
12	12	47	47	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	75
13	13	48	48	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	81
13	13	48	48	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	80
